,MarketCap,Market Category
BIDU,43939123200.0,Q
BIIB,50678935552.0,Q
BILI,7344290304.0,Q
BJRI,790078144.0,Q
BKCC,344869888.0,Q
BKNG,79483977728.0,Q
BL,3337245184.0,Q
BLDR,3044040448.0,Q
BLKB,3966399232.0,Q
BLMN,1812876800.0,Q
BLU,512575808.0,Q
BLUE,4608242688.0,Q
BMCH,2041873280.0,Q
BMRN,15555523584.0,Q
BMTC,775667648.0,Q
BNTX,7311387648.0,Q
BOKF,5665805824.0,Q
BOKFL,5463294976.0,Q
BOOM,624936256.0,Q
BPFH,968796416.0,Q
BPMC,3303921152.0,Q
BPOP,5435293184.0,Q
BPOPM,,Q
BPOPN,,Q
BPR,1250885248.0,Q
BPRAP,1854165376.0,Q
BPRN,214808352.0,Q
BPY,18128830464.0,Q
BPYPO,,Q
BPYPP,17432774656.0,Q
BREW,320025216.0,Q
BRKL,1216216576.0,Q
BRKR,8000654848.0,Q
BRKS,2839438592.0,Q
BRP,1006718528.0,Q
BRY,565361856.0,Q
BSET,127469160.0,Q
BSRR,416044064.0,Q
BSVN,4252432640.0,Q
BUSE,1446380928.0,Q
BYND,7143923200.0,Q
BZUN,1989558144.0,Q
CABA,445830688.0,Q
CAC,715580864.0,Q
CACC,8628670464.0,Q
CAKE,1748305920.0,Q
CALA,419735008.0,Q
CALM,1768776832.0,Q
CAMP,332023552.0,Q
CAR,2474627328.0,Q
CARE,533524832.0,Q
CARG,4055912192.0,Q
CASA,362919648.0,Q
CASH,1363833344.0,Q
CASS,814196416.0,Q
CASY,6041916416.0,Q
CATM,2047764992.0,Q
CATY,2924431104.0,Q
CBAY,126753344.0,Q
CBMG,329312640.0,Q
CBNK,192859824.0,Q
CBPO,4486188032.0,Q
CBRL,3769901824.0,Q
CBSH,7665343488.0,Q
CBSHP,6365803520.0,Q
CBTX,778674176.0,Q
CCB,209202816.0,Q
CCBG,473407648.0,Q
CCD,535829472.0,Q
CCLP,99330928.0,Q
CCMP,4483849216.0,Q
CCNE,457440000.0,Q
CCOI,3446374144.0,Q
CCRN,387946048.0,Q
CCXI,2370075136.0,Q
CDK,6567025152.0,Q
CDNS,20648837120.0,Q
CDW,19448659968.0,Q
CDXS,963207872.0,Q
CECE,258688768.0,Q
CENT,1710316160.0,Q
CENTA,1707290112.0,Q
CENX,468025856.0,Q
CERN,22947926016.0,Q
CETV,1133623296.0,Q
CEVA,643512256.0,Q
CFB,697946368.0,Q
CFFI,189456256.0,Q
CFFN,1923039360.0,Q
CFMS,71460480.0,Q
CG,11703139328.0,Q
CGBD,818995264.0,Q
CGNX,9358318592.0,Q
CGO,114911968.0,Q
CHCO,1245480448.0,Q
CHDN,5798130688.0,Q
CHEF,1112325760.0,Q
CHI,796546944.0,Q
CHKP,17806546944.0,Q
CHMA,199577904.0,Q
CHMG,196440016.0,Q
CHNG,1999792640.0,Q
CHNGU,,Q
CHRW,9886775296.0,Q
CHSCL,,Q
CHSCM,,Q
CHSCN,,Q
CHSCO,,Q
CHSCP,,Q
CHTR,105188507648.0,Q
CHUY,420349376.0,Q
CHW,511812832.0,Q
CHY,860345536.0,Q
CIGI,3241782784.0,Q
CIH,270975040.0,Q
CINF,17291503616.0,Q
CLAR,403242592.0,Q
CLBK,1914547072.0,Q
CLMT,348246176.0,Q
CLNE,497476928.0,Q
CLVS,642084160.0,Q
CMCO,849670592.0,Q
CMCSA,197278236672.0,Q
CME,76800991232.0,Q
CMFNL,124685872.0,Q
CMPR,3001549056.0,Q
CMTL,737303616.0,Q
CNBKA,494708800.0,Q
CNDT,979935808.0,Q
CNMD,3050174976.0,Q
CNOB,974204864.0,Q
CNSL,360732384.0,Q
CNST,1442346240.0,Q
CNXN,1357921024.0,Q
COHR,3648673024.0,Q
COHU,984154176.0,Q
COKE,1968183680.0,Q
COLB,2864528384.0,Q
COLL,673559424.0,Q
COLM,6387283968.0,Q
COMM,2438683136.0,Q
CONE,6933255168.0,Q
CONN,262868176.0,Q
CORE,1119132800.0,Q
COST,137449078784.0,Q
COUP,10591844352.0,Q
COWN,470468512.0,Q
COWNL,,Q
COWNZ,809480256.0,Q
CPIX,74552944.0,Q
CPLP,234951952.0,Q
CPRT,23492427776.0,Q
CPSI,375257984.0,Q
CPTA,139757184.0,Q
CPTAL,131261968.0,Q
CPZ,,Q
CRAI,428144160.0,Q
CREE,5551373312.0,Q
CRESY,433948160.0,Q
CRMT,743438528.0,Q
CRNC,873559168.0,Q
CRNT,172494720.0,Q
CRNX,541610624.0,Q
CROX,2799325952.0,Q
CRTO,1002176832.0,Q
CRTX,1429895680.0,Q
CRUS,4722202624.0,Q
CRVL,1724900864.0,Q
CRWD,12528995328.0,Q
CSCO,200871002112.0,Q
CSFL,2904036864.0,Q
CSGP,24170491904.0,Q
CSGS,1686366592.0,Q
CSII,1728329728.0,Q
CSIQ,1216622208.0,Q
CSOD,3636972288.0,Q
CSQ,2146230016.0,Q
CSTE,470182400.0,Q
CSTR,276144928.0,Q
CSWC,381933952.0,Q
CSWCL,415555552.0,Q
CSWI,1215926912.0,Q
CSX,60827316224.0,Q
CTAS,29186713600.0,Q
CTBI,788489344.0,Q
CTG,88184160.0,Q
CTMX,351660704.0,Q
CTRE,2100349312.0,Q
CTRN,273777344.0,Q
CTSH,34680094720.0,Q
CTXS,16182438912.0,Q
CUTR,411134656.0,Q
CVBF,2927535872.0,Q
CVCO,2025311104.0,Q
CVET,1462644480.0,Q
CVGI,163277232.0,Q
CVGW,1372202880.0,Q
CVLT,2128094208.0,Q
CVTI,256989648.0,Q
CWCO,264034928.0,Q
CWST,2443520256.0,Q
CY,8656983040.0,Q
CYBR,5318548480.0,Q
CYCN,96965216.0,Q
CYOU,586221120.0,Q
CYTK,759171712.0,Q
CZR,9396442112.0,Q
DAKT,271787936.0,Q
DBVT,1063449664.0,Q
DBX,7102023680.0,Q
DCOM,694654912.0,Q
DCPH,3311217920.0,Q
DDOG,13201414144.0,Q
DERM,1025808448.0,Q
DGICA,391420000.0,Q
DGICB,385878688.0,Q
DGII,467951264.0,Q
DHC,1886539136.0,Q
DHCNI,,Q
DHCNL,,Q
DHIL,485491616.0,Q
DIOD,2748611584.0,Q
DISCA,15176768512.0,Q
DISCB,14283375616.0,Q
DISCK,15169947648.0,Q
DISH,19209093120.0,Q
DLTH,285405120.0,Q
DLTR,20533979136.0,Q
DMLP,592331008.0,Q
DMRC,404158560.0,Q
DNKN,6496962560.0,Q
DNLI,2712903680.0,Q
DOCU,13827008512.0,Q
DOOO,4505593856.0,Q
DORM,2451806720.0,Q
DOX,9957027840.0,Q
DOYU,2616469504.0,Q
DRNA,1352880896.0,Q
DRTT,239029840.0,Q
DSGX,3892066304.0,Q
DSPG,347821984.0,Q
DTIL,454998368.0,Q
DWSN,56748300.0,Q
DXCM,21932998656.0,Q
DXLG,58907860.0,Q
DXPE,639703936.0,Q
EA,32660772864.0,Q
EBAY,28387954688.0,Q
EBAYL,28418719744.0,Q
EBIX,1115825408.0,Q
EBSB,987903360.0,Q
EBTC,388571072.0,Q
ECHO,579195648.0,Q
ECOL,1213765120.0,Q
ECOR,37483288.0,Q
ECPG,1085815680.0,Q
EDIT,1433916032.0,Q
EEFT,8877848576.0,Q
EFSC,1187533824.0,Q
EGLE,254213984.0,Q
EGOV,1507373184.0,Q
EHTH,2814515712.0,Q
EIDX,1986569856.0,Q
EIGI,671998912.0,Q
ELGX,25926336.0,Q
EMMS,50550640.0,Q
ENDP,1342513920.0,Q
ENSG,2476122112.0,Q
ENTA,1055867648.0,Q
ENTG,7242734080.0,Q
EPAY,2500543488.0,Q
EPZM,2153225472.0,Q
EQBK,422095456.0,Q
EQIX,51452170240.0,Q
ERI,4751716352.0,Q
ERIC,26880643072.0,Q
ERIE,7826281472.0,Q
ERII,567139520.0,Q
ERYP,121545832.0,Q
ESGR,4327008256.0,Q
ESGRO,3928137216.0,Q
ESGRP,4044264192.0,Q
ESLT,6868584960.0,Q
ESSA,196116000.0,Q
ETFC,9879964672.0,Q
ETSY,5981324800.0,Q
EVLO,231338624.0,Q
EWBC,7003834368.0,Q
EXC,46564020224.0,Q
EXEL,5419093504.0,Q
EXFO,223751584.0,Q
EXLS,2530160128.0,Q
EXPD,12564806656.0,Q
EXPE,15892545536.0,Q
EXPO,3814866432.0,Q
EXTR,777907264.0,Q
EYE,2831633408.0,Q
EZPW,349594080.0,Q
FANG,12541984768.0,Q
FANH,1717475840.0,Q
FARM,205732240.0,Q
FARO,890393728.0,Q
FAST,20789211136.0,Q
FB,635018215424.0,Q
FBIZ,227075440.0,Q
FBNC,1058963712.0,Q
FCBC,522752864.0,Q
FCFS,3691776768.0,Q
FCNCA,5565846016.0,Q
FDEF,595032640.0,Q
FDUS,362445280.0,Q
FDUSG,,Q
FDUSL,,Q
FDUSZ,,Q
FELE,2766426368.0,Q
FEYE,3525324800.0,Q
FFBC,2435190016.0,Q
FFIC,554415296.0,Q
FFIN,4857094144.0,Q
FFIV,7687931392.0,Q
FFNW,155743072.0,Q
FGEN,3678464000.0,Q
FHB,3829767424.0,Q
FIBK,2501570560.0,Q
FISI,484428544.0,Q
FISV,81988534272.0,Q
FITB,20317532160.0,Q
FITBI,20405622784.0,Q
FITBO,,Q
FITBP,,Q
FIVE,6615065600.0,Q
FIXX,678991552.0,Q
FIZZ,2097645056.0,Q
FLDM,284520448.0,Q
FLEX,6613087232.0,Q
FLIR,7131573248.0,Q
FLWS,975315072.0,Q
FLXS,136518864.0,Q
FMBI,2230232320.0,Q
FNKO,769428928.0,Q
FNLC,319364128.0,Q
FOCS,1969697792.0,Q
FORM,1988636544.0,Q
FORR,798883840.0,Q
FORTY,1109282816.0,Q
